Description,Location,Founded Year,Stage,Employee Count,Sector (Practice Area & Feed),Country,Cohort,Total Funding (USD; In Millions),Valuation (USD; In Millions),Annual Revenue (USD; In Millions),AI_Firm_Status,Age,,,,,,
Online furniture and home appliance rentals,Gurugram,2016,Seed,19,Retail > Home Improvements,India,2016-2020,0.15,0.09,0,Non-AI Firm,9,,,,,,
Online gifting store offering 3D-printed figurines and miniatures,Guwahati,2016,Series A,15,"Consumer > Online Gifting,
Retail > Online Gifting,
Retail > Licensed Merchandise E-Commerce",India,2016-2020,2.33,14.56,0.22,Non-AI Firm,9,,,,,,
Provider of AI-enabled air traffic safety and airport operational efficiency management solutions,Chennai,2016,Seed,11,"Travel and Hospitality Tech > Aviation IT,
Aerospace, Maritime and Defense Tech > Aviation IT,
Transportation and Logistics Tech > Aviation IT",India,2016-2020,0.04,0.65,0.07,AI Firm,9,,,,,,
Cloud-based daily reporting solution for construction projects,Mumbai,2016,Seed,11,"Real Estate and Construction Tech > Construction Tech,
Enterprise Applications > Field Force Automation",India,2016-2020,0.08,0.36,0.02,AI Firm,9,,,,,,
Manufacturer of solid and liquid finished formulations,Mumbai,2016,Seed,35,Healthcare > Biopharma Outsourcing,India,2016-2020,1.35,4.22,1.32,Non-AI Firm,9,,,,,,
Provider of geospatial intelligence solutions,Indore,2016,Seed,11,"High Tech > Geographic Information Systems,
High Tech > Drones,
Aerospace, Maritime and Defense Tech > Drones,
Real Estate and Construction Tech > Construction Tech,
High Tech > Digital Twin,
Internet of Things - Industry Applications > Digital Twin",India,2016-2020,0.1,11.51,0.06,Non-AI Firm,9,,,,,,
Organic daily essentials and A2 milk provider,Pune,2016,Seed,51,"Food and Agriculture Tech > Online Grocery,
Food and Agriculture > Food & Beverage Products,
Consumer Goods > Food & Beverage Products",India,2016-2020,0.71,3.25,1.79,AI Firm,9,,,,,,
Provider of AI-powered contact center solutions,Mumbai,2016,Series A,101,Enterprise Applications > Customer Service Software,India,2016-2020,4.03,6.81,1.47,AI Firm,9,,,,,,
AI powered omnichannel customer service and engagement platform,Mumbai,2016,Seed,39,"Enterprise Applications > Customer Service Software,
Enterprise Applications > Customer Success Management",India,2016-2020,0.07,0.28,2.44,AI Firm,9,,,,,,
Provider of smart gloves for detection and management of epilepsy,Bengaluru,2016,Seed,89,"HealthTech > Disease Self Management,
High Tech > Wearable Technology,
Internet of Things - Industry Applications > Wearable Technology,
Life Sciences > Neurology,
HealthTech > Healthcare IT,
HealthTech > Fitness & Wellness Tech",India,2016-2020,0.12,5.98,0.01,Non-AI Firm,9,,,,,,
"Provider of a fintech company that offers a mobile wallet solution for consumer payments, aiming to make digital transactions easier and more accessible for the average Indian user",Manipal,2016,Series B,30,FinTech > Payments,India,2016-2020,1.62,17.77,0.04,AI Firm,9,,,,,,
Online crowdfunding platform for nonprofit organizations,Hyderabad,2016,Seed,28,"FinTech > Crowdfunding,
Enterprise Applications > Nonprofit Tech",India,2016-2020,0.38,1.84,1.97,Non-AI Firm,9,,,,,,
Provider of on-demand production services for beauty businesses,Bengaluru,2016,Seed,22,"Retail > Beauty Tech,
Retail > Brands Tech",India,2016-2020,5.32,15.87,0.1,Non-AI Firm,9,,,,,,
Platform offering digital solutions,Bengaluru,2016,Series A,33,"FinTech > Banking Tech,
FinTech > Alternative Lending",India,2016-2020,5.56,23.54,0.79,Non-AI Firm,9,,,,,,
Online marketplace for booking artists for events,Mumbai,2016,Series A,8,Enterprise Applications > Events Tech,India,2016-2020,11.78,7.93,0.88,Non-AI Firm,9,,,,,,
AI based sales experience platform for businesses,Bengaluru,2016,Series A,72,"High Tech > Chatbots,
Enterprise Applications > Sales Force Automation,
High Tech > Natural Language Processing,
Enterprise Applications > MarketingTech,
High Tech > Generative AI,
Native AI > Generative AI",India,2016-2020,0.64,1.91,1.51,AI Firm,9,,,,,,
Software integrated gadget for pulse pattern interpretation,Pune,2016,Seed,36,HealthTech > Healthcare IT,India,2016-2020,0.68,1.83,0.06,Non-AI Firm,9,,,,,,
Provider of AI and cloud-based building automation solutions,Noida,2016,Seed,7,"High Tech > IoT Applications,
Internet of Things - Industry Applications > IoT Applications,
Energy Tech > Energy Efficiency Tech,
Environment Tech > Energy Efficiency Tech,
Sustainability Tech > Energy Efficiency Tech,
Real Estate and Construction Tech > Property Management Tech,
Real Estate and Construction Tech > Facility Management Tech",India,2016-2020,0.76,12.75,0.21,AI Firm,9,,,,,,
Online platform offering end-to-end distribution services for retailers,Gurugram,2016,Seed,112,Retail > B2B E-Commerce,India,2016-2020,2.79,28.25,1.6,AI Firm,9,,,,,,
Developer of high-yielding disease-resistant of potato seed varieties,Bengaluru,2016,Seed,26,"Food and Agriculture Tech > Crop Tech,
Life Sciences > Genomics",India,2016-2020,6.04,4.03,2.56,Non-AI Firm,9,,,,,,
Provider of SaaS-driven energy management and monitoring solution,Kochi,2016,Seed,11,"Energy Tech > Energy Efficiency Tech,
Environment Tech > Energy Efficiency Tech,
Sustainability Tech > Energy Efficiency Tech,
Real Estate and Construction Tech > Facility Management Tech,
High Tech > IoT Applications,
Internet of Things - Industry Applications > IoT Applications",India,2016-2020,3.34,3.85,0.03,Non-AI Firm,9,,,,,,
Location-based VR entertainment provider,Bengaluru,2016,Seed,11,High Tech > Virtual Reality,India,2016-2020,0.15,1.45,0,AI Firm,9,,,,,,
Online station-based motorbike rental platform,Delhi,2016,Seed,1,"Consumer > Road Transport Tech,
Travel and Hospitality Tech > Road Transport Tech,
Auto Tech > Road Transport Tech,
Transportation and Logistics Tech > Road Transport Tech",India,2016-2020,0.01,0.53,0.06,Non-AI Firm,9,,,,,,
Mobile first customer service and engagement application,Mumbai,2016,Seed,1,Enterprise Applications > Customer Service Software,India,2016-2020,0.3,1.5,0.03,Non-AI Firm,9,,,,,,
Cloud-based healthcare interoperatability platform,Hyderabad,2016,Seed,70,HealthTech > Healthcare IT,India,2016-2020,3.12,10.22,0.03,Non-AI Firm,9,,,,,,
Provider of nutritional supplements and plant-based foods,Bengaluru,2016,Seed,22,"Food and Agriculture > Food Processing,
Food and Agriculture Tech > Online Grocery",India,2016-2020,1.1,3.63,0.21,Non-AI Firm,9,,,,,,
Manufactures and sells robots for military applications,Mumbai,2016,Series A,50,High Tech > Professional Service Robots,India,2016-2020,1.36,14.15,3.12,Non-AI Firm,9,,,,,,
Bus tracking and communication tool between schools & parents,Mumbai,2016,Seed,1,"Enterprise Applications > Enterprise Resource Planning,
EdTech > K-12 EdTech",India,2016-2020,0.03,0.81,0,Non-AI Firm,9,,,,,,
AI-based operations management solutions for travel agencies,Bengaluru,2016,Seed,3,"Consumer > Online Travel,
Travel and Hospitality Tech > Online Travel",India,2016-2020,3.67,4.61,0.15,AI Firm,9,,,,,,
Cloud based workflow automation solution for Neonatal ICU,Delhi,2016,Seed,5,HealthTech > Healthcare IT,India,2016-2020,0.66,3.21,0.03,Non-AI Firm,9,,,,,,
"Provider of relocation services for households, pets, and corporations",Bengaluru,2016,Seed,24,"Consumer > Logistics Tech,
Transportation and Logistics Tech > Logistics Tech",India,2016-2020,1.77,3.55,0.55,Non-AI Firm,9,,,,,,
Offers virtual fitting room for online clothing,Chennai,2016,Seed,11,"Retail > E-Commerce Enablers,
Consumer > Fashion Tech,
Retail > Fashion Tech",India,2016-2020,0.58,2.6,0.09,Non-AI Firm,9,,,,,,
AI-based job matching platform for connecting employees to employers,Kolkata,2016,Seed,64,Enterprise Applications > HRTech,India,2016-2020,0.18,3.41,0.03,AI Firm,9,,,,,,
Provider of real-time school bus tracking platform,Ahmedabad,2016,Seed,6,"Consumer > Road Transport Tech,
Travel and Hospitality Tech > Road Transport Tech,
Auto Tech > Road Transport Tech,
Transportation and Logistics Tech > Road Transport Tech,
EdTech > K-12 EdTech,
High Tech > Security & Surveillance Technology",India,2016-2020,0.25,4.06,1.01,Non-AI Firm,9,,,,,,
Developer of AR-enhanced educational flashcard kits,Mumbai,2016,Seed,1,"High Tech > Augmented Reality,
EdTech > K-12 EdTech",India,2016-2020,0.03,0.91,0.31,Non-AI Firm,9,,,,,,
Online marketplace for hiring photographers,Gurugram,2016,Seed,5,"Consumer > Local Services,
Unbundling of Craigslist > Local Services,
Consumer > Online Photos,
Media & Entertainment > Online Photos",India,2016-2020,0.28,2.35,0.76,Non-AI Firm,9,,,,,,
Cloud-based solution for community management,Hyderabad,2016,Seed,1,Real Estate and Construction Tech > Property Management Tech,India,2016-2020,0.15,2.07,0.02,Non-AI Firm,9,,,,,,
An app-based platform for personal loans,Delhi,2016,Seed,2,FinTech > Alternative Lending,India,2016-2020,1.34,4.48,0.03,Non-AI Firm,9,,,,,,
Provider of analytics solution for retail businesses,Mumbai,2016,Seed,18,"Retail > In Store Retail Tech,
High Tech > IoT Applications,
Internet of Things - Industry Applications > IoT Applications",India,2016-2020,1.13,4.58,0.19,AI Firm,9,,,,,,
Provider of cloud-based POS solution for businesses,Hyderabad,2016,Seed,10,Retail > In Store Retail Tech,India,2016-2020,0.6,1.92,0.06,Non-AI Firm,9,,,,,,
Platform offering low code application development software,Bengaluru,2016,Seed,14,"Enterprise Infrastructure > Application Development Tools,
Enterprise Applications > Enterprise Collaboration,
Enterprise Applications > Business Process Management Software",India,2016-2020,1.5,4.86,0.45,Non-AI Firm,9,,,,,,
Online platform for providing end to end solutions for construction 3D printing,Chennai,2016,Seed,76,"High Tech > 3D Printing,
Real Estate and Construction Tech > Construction Tech",India,2016-2020,3.92,38.9,2.08,Non-AI Firm,9,,,,,,
"Institution offering robotic education, skill development, and other academic services",Surat,2016,Seed,8,Education > Afterschool Programs,India,2016-2020,1,2.53,0.12,Non-AI Firm,9,,,,,,
"AI driven, cloud native, and no code external and internal master data management platform",Bengaluru,2016,Seed,36,"Enterprise Applications > Business Process Management Software,
Enterprise Applications > Digital Transaction Management,
FinTech > RegTech,
Enterprise Applications > Enterprise Information Management",India,2016-2020,1.44,5.8,0.84,AI Firm,9,,,,,,
Online brand offering kids furniture,Bengaluru,2016,Seed,20,"Consumer Goods > Home Furnishing Products,
Retail > Mom & Baby Care",India,2016-2020,0.14,5.74,1.05,Non-AI Firm,9,,,,,,
Online platform offering healthy mid -meal snacks,Noida,2016,Seed,1,Food and Agriculture Tech > Online Grocery,India,2016-2020,0.54,1.24,0.13,Non-AI Firm,9,,,,,,
Provider of SaaS-based digital twin solutions for asset management,Chennai,2016,Seed,13,"High Tech > Digital Twin,
Internet of Things - Industry Applications > Digital Twin,
Enterprise Applications > Manufacturing Tech,
Industrial Goods and Manufacturing > Manufacturing Tech",India,2016-2020,0.01,1.55,0.07,Non-AI Firm,9,,,,,,
Online platform providing multi-disciplinary learning courses,Roorkee,2016,Seed,24,EdTech > Continued Learning,India,2016-2020,0.5,1.7,0.34,Non-AI Firm,9,,,,,,
Online hotel booking platform that allows users to book hotel rooms based on time slots,Gurugram,2016,Seed,96,"Consumer > Online Travel,
Travel and Hospitality Tech > Online Travel",India,2016-2020,0.22,1.64,0.18,Non-AI Firm,9,,,,,,
Provider of investment advisory and wealth management app,Mumbai,2016,Series A,120,FinTech > Investment Tech,India,2016-2020,4.57,19.66,0.24,Non-AI Firm,9,,,,,,
Digital receipt management solutions for retail store and restaurants,Belgaum,2016,Seed,25,FinTech > Finance & Accounting Tech,India,2016-2020,0.23,0.84,0.66,AI Firm,9,,,,,,
Provider of B2B financial technology solutions,Mumbai,2016,Seed,77,FinTech > Alternative Lending,India,2016-2020,6.84,19.16,1.14,Non-AI Firm,9,,,,,,
Developer of autonomous electric tractor and tricycle,Mumbai,2016,Seed,19,"Energy Tech > Electric Vehicles,
Auto Tech > Electric Vehicles,
Food and Agriculture Tech > Crop Tech,
Auto Tech > Autonomous Vehicles",India,2016-2020,6.91,10.45,0.16,Non-AI Firm,9,,,,,,
Online marketplace for entrance and competitive exam courses,Kota,2016,Seed,11,EdTech > Test Preparation Tech,India,2016-2020,1,7.2,0.16,Non-AI Firm,9,,,,,,
Provider of real estate collateral management platform for financial institutions,Mumbai,2016,Series A,140,"Enterprise Infrastructure > Cybersecurity,
FinTech > Banking Tech,
FinTech > RegTech,
FinTech > Payments",India,2016-2020,7.81,28.23,1.33,Non-AI Firm,9,,,,,,
Machine learning-based business intelligence suites provider,"Bengaluru,
Toronto",2016,Seed,11,"Enterprise Applications > Big Data Analytics,
Enterprise Applications > Business Intelligence","India,
Canada",2016-2020,2.35,11.04,0.5,AI Firm,9,,,,,,
Offers cloud-based fleet tire and cargo maintenance solutions,Jaipur,2016,Seed,21,"Consumer > Logistics Tech,
Transportation and Logistics Tech > Logistics Tech",India,2016-2020,1.44,2.91,3.03,AI Firm,9,,,,,,
Provider of logistics platform offering freight benchmarking and network optimization,Mumbai,2016,Seed,12,"Consumer > Logistics Tech,
Transportation and Logistics Tech > Logistics Tech",India,2016-2020,0.44,11,0.2,Non-AI Firm,9,,,,,,
,Pune,2016,Seed,1,"Enterprise Applications > Enterprise Resource Planning,
EdTech > K-12 EdTech",India,2016-2020,1.15,4.63,0.07,Non-AI Firm,9,,,,,,
Online platform that provide VR-based tour guide,Bengaluru,2016,Seed,70,"Consumer > Online Travel,
Travel and Hospitality Tech > Online Travel,
High Tech > Augmented Reality,
High Tech > Virtual Reality",India,2016-2020,0.85,6.62,0.02,Non-AI Firm,9,,,,,,
Provider of after-school business skill training programs for school students,Mumbai,2016,Seed,24,EdTech > K-12 EdTech,India,2016-2020,0.59,2.19,0.11,AI Firm,9,,,,,,
Cloud-enabled platform offering suite of taxi booking management solutions,Mumbai,2016,Seed,1,"Consumer > Road Transport Tech,
Travel and Hospitality Tech > Road Transport Tech,
Auto Tech > Road Transport Tech,
Transportation and Logistics Tech > Road Transport Tech",India,2016-2020,0.07,0.27,0,Non-AI Firm,9,,,,,,
Online platform offering rewards & cashback for multi-category products and services,Ahmedabad,2016,Seed,6,Retail > Coupons and Deals,India,2016-2020,0.06,34.43,1.37,Non-AI Firm,9,,,,,,
Platform offering single-origin coffees,Bengaluru,2016,Seed,1,"Food and Agriculture Tech > Online Grocery,
Food and Agriculture > Food & Beverage Products,
Consumer Goods > Food & Beverage Products",India,2016-2020,0.03,0.21,0.14,Non-AI Firm,9,,,,,,
Account aggregator app,Hyderabad,2016,Series A,24,FinTech > Banking Tech,India,2016-2020,2.2,3.54,1.23,Non-AI Firm,9,,,,,,
Conversational and generative AI platform,Bengaluru,2016,Series A,37,"High Tech > Natural Language Processing,
High Tech > Chatbots,
High Tech > Generative AI,
Native AI > Generative AI",India,2016-2020,4.96,17.23,0.84,AI Firm,9,,,,,,
Developer of electric vehicle components and charging solutions,Bengaluru,2016,Seed,11,"Energy Tech > Electric Vehicles,
Auto Tech > Electric Vehicles",India,2016-2020,0.74,2.86,0.09,Non-AI Firm,9,,,,,,
Life skills training for interviews,Gurugram,2016,Seed,11,EdTech > Continued Learning,India,2016-2020,0.45,23.33,0.17,AI Firm,9,,,,,,
Online bike rental platform,Bengaluru,2016,Seed,11,"Consumer > Road Transport Tech,
Travel and Hospitality Tech > Road Transport Tech,
Auto Tech > Road Transport Tech,
Transportation and Logistics Tech > Road Transport Tech",India,2016-2020,0.2,2.81,0.32,Non-AI Firm,9,,,,,,
Events and activities booking platform,Hyderabad,2016,Seed,91,Media & Entertainment > Online Event Ticketing,India,2016-2020,0.05,0.33,0.01,Non-AI Firm,9,,,,,,
Online platform for ordering takeaway food,Bengaluru,2016,Seed,3,Food and Agriculture Tech > Food Tech,India,2016-2020,0.93,3.37,0.02,Non-AI Firm,9,,,,,,
Manufacture of electric scooters,Mumbai,2016,Seed,20,"Energy Tech > Electric Vehicles,
Auto Tech > Electric Vehicles",India,2016-2020,0.66,9.56,0.04,Non-AI Firm,9,,,,,,
Platform that offers cloud based file sharing solutions,Bengaluru,2016,Seed,75,"Enterprise Infrastructure > Cybersecurity,
Enterprise Applications > Enterprise Collaboration",India,2016-2020,0.09,3.38,1.16,Non-AI Firm,9,,,,,,
Provider of cloud based software solutions for life sciences,"Hicksville,
Bengaluru",2016,Seed,66,"HealthTech > Life Sciences Tech,
Life Sciences > Life Sciences Tech","United States,
India",2016-2020,0.16,2.92,1.39,Non-AI Firm,9,,,,,,
Cloud based ecommerce fulfillment enablers,Pune,2016,Series A,101,"Retail > E-Commerce Enablers,
Consumer > Logistics Tech,
Transportation and Logistics Tech > Logistics Tech",India,2016-2020,1.52,8.62,3.29,Non-AI Firm,9,,,,,,
AI based customer journey analytics software solution provider,Bengaluru,2016,Seed,38,"Enterprise Applications > Customer Success Management,
Enterprise Applications > Customer Service Software,
High Tech > Chatbots",India,2016-2020,3.26,8.31,0.36,AI Firm,9,,,,,,
Provider of AI-powered location tracking systems,Bengaluru,2016,Series A,11,"High Tech > IoT Applications,
Internet of Things - Industry Applications > IoT Applications,
High Tech > Security & Surveillance Technology,
Enterprise Applications > SCM Software,
High Tech > Geographic Information Systems",India,2016-2020,2.21,7.03,0.58,AI Firm,9,,,,,,
App-based comparison platform for auto insurance,Bengaluru,2016,Seed,11,"FinTech > Internet First Insurance Platforms,
InsurTech > Internet First Insurance Platforms,
Consumer > Auto E-Commerce & Content,
Auto Tech > Auto E-Commerce & Content,
Auto > Auto Retail & Aftersales",India,2016-2020,0.35,1.56,0.04,Non-AI Firm,9,,,,,,
Offers IoT and cloud based supply chain visibility solutions,Pune,2016,Seed,25,"Enterprise Applications > SCM Software,
High Tech > Internet of Things Infrastructure",India,2016-2020,0.7,3.58,0.73,AI Firm,9,,,,,,
Cloud based community management platform,Chennai,2016,Seed,1,Enterprise Applications > MarketingTech,India,2016-2020,0.19,1.38,0.04,Non-AI Firm,9,,,,,,
Voice-first unified AI platform for customer experience,Bengaluru,2016,Series A,152,"Enterprise Applications > Customer Service Software,
High Tech > Speech and Voice Recognition,
High Tech > Natural Language Processing,
High Tech > Chatbots,
High Tech > Generative AI,
Native AI > Generative AI,
Enterprise Applications > Customer Success Management",India,2016-2020,7.72,24.2,2.81,AI Firm,9,,,,,,
Chain of hair clinics,"Bengaluru,
Pune",2016,Seed,40,Healthcare > Clinic Chains,"India,
India",2016-2020,0.15,2.93,0.41,AI Firm,9,,,,,,
Provider of machine learning scorecards and platforms for financial institutions,Gurugram,2016,Seed,34,"FinTech > Alternative Lending,
FinTech > Banking Tech",India,2016-2020,2.02,9.97,0.63,AI Firm,9,,,,,,
Online brand offering mens grooming essentials,Delhi,2016,Seed,34,"Retail > Beauty Tech,
Consumer Goods > Beauty & Personal Care Products",India,2016-2020,0.73,5.11,2.64,Non-AI Firm,9,,,,,,
Cloud-driven auto repair shop software system,Hyderabad,2016,Seed,10,Auto Tech > Auto IT,India,2016-2020,0.35,4.51,0.43,AI Firm,9,,,,,,
"Manufacturer of technologically advanced, stain and odor-resistant apparel",Bengaluru,2016,Seed,10,"Consumer > Fashion Tech,
Retail > Fashion Tech,
Consumer Goods > Apparel Brands",India,2016-2020,1.85,3.59,0.84,AI Firm,9,,,,,,
Provider of embedded finance solutions for MSME lending,Bokaro Steel City,2016,Seed,11,FinTech > Alternative Lending,India,2016-2020,2.05,6.13,0.06,Non-AI Firm,9,,,,,,
Developer of simulation based training platforms for industrial skills,Bengaluru,2016,Series A,34,"High Tech > Virtual Reality,
High Tech > Augmented Reality,
Enterprise Applications > HRTech,
High Tech > Metaverse",India,2016-2020,4.22,13.97,0.4,AI Firm,9,,,,,,
Produces and markets food products,Mumbai,2016,Seed,4,"Food and Agriculture > Food & Beverage Products,
Consumer Goods > Food & Beverage Products",India,2016-2020,1.23,3.45,0.37,Non-AI Firm,9,,,,,,
Provider of social learning platform with quizzes and competitions,Bengaluru,2016,Seed,11,"EdTech > Higher Education Tech,
Consumer > Social Platforms,
Media & Entertainment > Social Platforms",India,2016-2020,0.75,3.79,0.02,Non-AI Firm,9,,,,,,
Provider of worksite management software for the construction industry,"Oakland,
Delhi",2016,Seed,1,"Real Estate and Construction Tech > Construction Tech,
Enterprise Applications > Field Force Automation,
High Tech > Wearable Technology,
Internet of Things - Industry Applications > Wearable Technology,
Enterprise Applications > Manufacturing Tech,
Industrial Goods and Manufacturing > Manufacturing Tech","United States,
India",2016-2020,0.15,1.55,0.01,Non-AI Firm,9,,,,,,
Mobile-based test preparation platform,Hyderabad,2016,Seed,1,EdTech > Test Preparation Tech,India,2016-2020,0.15,0.31,0,Non-AI Firm,9,,,,,,
Platform offering offering groceries and gourmet food products,Bengaluru,2016,Series A,1,"Food and Agriculture Tech > Online Grocery,
Food and Agriculture > Food & Beverage Products,
Consumer Goods > Food & Beverage Products",India,2016-2020,1.37,9.81,1.04,Non-AI Firm,9,,,,,,
"Brand of honey, health booster, and dry fruit refresher",Bengaluru,2016,Seed,11,Life Sciences > Nutraceuticals Tech,India,2016-2020,0.13,1.33,0.26,Non-AI Firm,9,,,,,,
Provider of online sports network,Ahmedabad,2016,Series B,72,"Consumer > Sports Tech,
Media & Entertainment > Internet First Media",India,2016-2020,2.48,8.54,1.23,Non-AI Firm,9,,,,,,
Recruitment portal for entertainment industry in India,Mumbai,2016,Seed,1,"Media & Entertainment > Tech for Film & TV,
Enterprise Applications > HRTech",India,2016-2020,1.45,5.66,0.05,AI Firm,9,,,,,,
